date,time,title,full_price,reduced,free,total,datetime,giorno_settimana,mese,anno,ora,fascia_oraria,stagione,weekend,festività,data_str,temp_max,temp_min,precip_mm,genres,keywords,cast,director,vote_average,popularity
2023-05-21,20:30,Il Sol dell'Avvenire,18.0,16.0,0.0,34.0,2023-05-21 20:30:00,domenica,5,2023,20,sera,primavera,True,Nessuna,2023-05-21,23.7,12.6,1.6,['Comedy'],"['melancholy', 'filmmaking', 'critical']","['Nanni Moretti', 'Margherita Buy', 'Silvio Orlando']",Nanni Moretti,7.0,0.4951
2023-05-26,20:30,Rispet,44.0,28.0,0.0,72.0,2023-05-26 20:30:00,venerdì,5,2023,20,sera,primavera,True,Nessuna,2023-05-26,25.3,13.1,3.4,['Drama'],[],"['Alex Zancanella', 'Mara Paolazzi', 'Luca Bertoldi']",Cecilia Bozza Wolf,0.0,0.1768
2023-05-31,20:30,La Seconda Via (ingresso 5+gratis A.N.A.),0.0,38.0,54.0,92.0,2023-05-31 20:30:00,mercoledì,5,2023,20,sera,primavera,False,Nessuna,2023-05-31,23.2,12.2,6.5,,,,,,
2023-06-02,20:30,Fast X,10.0,47.0,0.0,57.0,2023-06-02 20:30:00,venerdì,6,2023,20,sera,estate,True,Festa della Repubblica,2023-06-02,24.1,12.5,16.4,"['Action', 'Crime', 'Thriller', 'Adventure', 'Mystery']","['sequel', 'revenge', 'betrayal', 'racing', 'family', 'cliffhanger', 'cars', 'ominous']","['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson']",Louis Leterrier,7.037,31.4357
2023-06-03,17:00,La Sirenetta,36.0,82.0,5.0,123.0,2023-06-03 17:00:00,sabato,6,2023,17,pomeriggio,estate,True,Nessuna,2023-06-03,22.9,15.4,8.7,"['Adventure', 'Family', 'Fantasy', 'Romance']","['witch', 'mermaid', 'musical', 'based on fairy tale', 'live action remake']","['Halle Bailey', 'Jonah Hauer-King', 'Melissa McCarthy']",Rob Marshall,6.313,11.5983
2023-06-03,20:30,Fast X,26.0,35.0,0.0,61.0,2023-06-03 20:30:00,sabato,6,2023,20,sera,estate,True,Nessuna,2023-06-03,22.9,15.4,8.7,"['Action', 'Crime', 'Thriller', 'Adventure', 'Mystery']","['sequel', 'revenge', 'betrayal', 'racing', 'family', 'cliffhanger', 'cars', 'ominous']","['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson']",Louis Leterrier,7.037,31.4357
2023-06-04,17:00,La Sirenetta,51.0,85.0,4.0,140.0,2023-06-04 17:00:00,domenica,6,2023,17,pomeriggio,estate,True,Nessuna,2023-06-04,20.8,13.2,10.7,"['Adventure', 'Family', 'Fantasy', 'Romance']","['witch', 'mermaid', 'musical', 'based on fairy tale', 'live action remake']","['Halle Bailey', 'Jonah Hauer-King', 'Melissa McCarthy']",Rob Marshall,6.313,11.5983
2023-06-04,20:30,Fast X,25.0,43.0,0.0,68.0,2023-06-04 20:30:00,domenica,6,2023,20,sera,estate,True,Nessuna,2023-06-04,20.8,13.2,10.7,"['Action', 'Crime', 'Thriller', 'Adventure', 'Mystery']","['sequel', 'revenge', 'betrayal', 'racing', 'family', 'cliffhanger', 'cars', 'ominous']","['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson']",Louis Leterrier,7.037,31.4357
2023-06-09,20:30,Daliland,6.0,7.0,1.0,14.0,2023-06-09 20:30:00,venerdì,6,2023,20,sera,estate,True,Nessuna,2023-06-09,25.0,12.9,0.9,"['History', 'Drama']","['biography', 'art']","['Ben Kingsley', 'Barbara Sukowa', 'Christopher Briney']",Mary Harron,6.2,0.7958
2023-06-10,17:00,La Sirenetta,18.0,68.0,1.0,87.0,2023-06-10 17:00:00,sabato,6,2023,17,pomeriggio,estate,True,Nessuna,2023-06-10,24.7,14.9,9.7,"['Adventure', 'Family', 'Fantasy', 'Romance']","['witch', 'mermaid', 'musical', 'based on fairy tale', 'live action remake']","['Halle Bailey', 'Jonah Hauer-King', 'Melissa McCarthy']",Rob Marshall,6.313,11.5983
2023-06-10,20:30,Daliland,9.0,7.0,0.0,16.0,2023-06-10 20:30:00,sabato,6,2023,20,sera,estate,True,Nessuna,2023-06-10,24.7,14.9,9.7,"['History', 'Drama']","['biography', 'art']","['Ben Kingsley', 'Barbara Sukowa', 'Christopher Briney']",Mary Harron,6.2,0.7958
2023-06-11,20:30,Across the Spider-Verse,55.0,0.0,2.0,57.0,2023-06-11 20:30:00,domenica,6,2023,20,sera,estate,True,Nessuna,2023-06-11,25.0,13.8,14.3,"['Animation', 'Action', 'Adventure', 'Science Fiction']","['new york city', 'hero', 'sacrifice', 'superhero', 'villain', 'portal', 'based on comic', 'sequel', 'romance', 'alter ego', 'alternate dimension', 'india', 'parenting', 'family', 'alternate version', 'super power', 'brooklyn, new york city', 'superhero team', 'spider bite', 'super villain', 'cliffhanger', 'teenage romance', 'young heroes', 'teen superhero', 'teen social issues', 'chelsea', 'alternate universe', 'superhero teamup', 'female superhero', 'slow burn romance', 'interdimensional travel', 'sentimental', 'defiant']","['Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry']",Kemp Powers,8.347,24.5393
2023-06-12,20:30,Book Club 2,11.0,0.0,0.0,11.0,2023-06-12 20:30:00,lunedì,6,2023,20,sera,estate,False,Nessuna,2023-06-12,23.9,13.9,5.7,"['Comedy', 'Romance']","['italy', 'female friendship', 'vacation', 'book club']","['Diane Keaton', 'Jane Fonda', 'Candice Bergen']",Bill Holderman,6.3,1.4255
2023-06-13,20:30,Guardiani della Galassia vol.3,41.0,0.0,1.0,42.0,2023-06-13 20:30:00,martedì,6,2023,20,sera,estate,False,Nessuna,2023-06-13,22.6,14.7,5.3,"['Science Fiction', 'Adventure', 'Action', 'Comedy']","['hero', 'superhero', 'melancholy', 'mad scientist', 'based on comic', 'sequel', 'superhero team', 'space opera', 'raccoon', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'hopeless', 'cosmic', 'outer space', 'chosen family', 'lighthearted', 'hilarious', 'cheerful', 'disheartening', 'empathetic', 'enthusiastic', 'euphoric', 'hopeful', 'straightforward', 'sympathetic']","['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista']",James Gunn,7.935,16.9907
2023-06-14,20:30,Across the Spider-Verse,65.0,0.0,2.0,67.0,2023-06-14 20:30:00,mercoledì,6,2023,20,sera,estate,False,Nessuna,2023-06-14,22.9,13.7,5.4,"['Animation', 'Action', 'Adventure', 'Science Fiction']","['new york city', 'hero', 'sacrifice', 'superhero', 'villain', 'portal', 'based on comic', 'sequel', 'romance', 'alter ego', 'alternate dimension', 'india', 'parenting', 'family', 'alternate version', 'super power', 'brooklyn, new york city', 'superhero team', 'spider bite', 'super villain', 'cliffhanger', 'teenage romance', 'young heroes', 'teen superhero', 'teen social issues', 'chelsea', 'alternate universe', 'superhero teamup', 'female superhero', 'slow burn romance', 'interdimensional travel', 'sentimental', 'defiant']","['Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry']",Kemp Powers,8.347,24.5393
2023-06-15,20:30,Book Club 2,10.0,0.0,0.0,10.0,2023-06-15 20:30:00,giovedì,6,2023,20,sera,estate,False,Nessuna,2023-06-15,24.1,13.2,2.3,"['Comedy', 'Romance']","['italy', 'female friendship', 'vacation', 'book club']","['Diane Keaton', 'Jane Fonda', 'Candice Bergen']",Bill Holderman,6.3,1.4255
