date;time;title;full_price;reduced;free;total
23/10/2022;20:30;Ticket to Paradise;31;12;0;43
26/10/2022;20:30;Elvis ;35;34;0;69
29/10/2022;17:00;Dragon Ball Super: Super Hero;6;10;0;16
29/10/2022;20:30;Halloween Ends;5;13;1;19
30/10/2022;17:00;Dragon Ball Super: Super Hero;2;10;1;13
30/10/2022;20:30;Halloween Ends ;0;10;0;10
31/10/2022;20:30;Il Ragazzo e la Tigre;13;17;1;31
02/11/2022;20:30;Siccità ;16;25;0;41
05/11/2022;20:30;Black Adam;12;27;1;39
06/11/2022;17:00;Black Adam;8;24;1;32
06/11/2022;20:30;Siccità ;14;10;0;24
09/11/2022;20:30;Gli orsi non esistono;15;13;0;28
11/11/2022;20:30;Dirty Difficult Dangerous - SIC;0;0;0;0
12/11/2022;20:30;Il talento di Mr. Crocodyle;9;10;0;19
13/11/2022;17:00;Il talento di Mr. Crocodyle;19;23;2;42
16/11/2022;20:30;Una città di Carta ;23;26;1;49
20/11/2022;17:00;Black Panther - Wakanda Forever;10;45;1;55
23/11/2022;20:30;Tra i Due Mondi ;19;12;0;31
25/11/2022;20:30;La Stranezza;7;2;;9
27/11/2022;20:30;La Stranezza;27;17;0;44
30/11/2022;20:30;Dante  ;24;35;0;59
03/12/2022;20:30;Belle & Sebastien - L'avventura continua;20;25;1;45
04/12/2022;17:00;Belle & Sebastien - L'avventura continua;26;51;;77
07/12/2022;20:30;Triangle of Sadness ;21;13;;34
08/12/2022;17:00;Strange World;23;36;8;59
10/12/2022;17:00;Strange World;11;33;;44
10/12/2022;20:30;Wakanda Forever - Black Panter;6;23;1;29
11/12/2022;17:00;Strange World;12;9;;21
14/12/2022;20:30;Il Colibrì ;10;15;;25
25/12/2022;20:30;Avatar - la via dell'acqua;48;32;1;
26/12/2022;17:00;Il Gatto con gli Stivali;32;63;6;
26/12/2022;20:30;Il grande giorno;34;39;;
28/12/2022;16:00;Avatar - la via dell'acqua;39;90;;
28/12/2022;20:30;The Fabelmans;14;12;;
29/12/2022;17:00;Il Gatto con gli Stivali;45;103;7;
29/12/2022;20:30;Sì chef!;7;11;0;
30/12/2022;16:00;Avatar - la via dell'acqua;60;31;5;
30/12/2022;20:30;Il grande giorno;26;29;;
01/01/2023;20:30;Tre di troppo;33;20;3;56
02/01/2023;20:30;Avatar - la via dell'acqua;48;91;4;143
03/01/2023;17:00;Ernest & Celestine 2;12;38;0;50
03/01/2023;20:30;Il grande giorno;26;29;1;56
04/01/2023;16:00;Avatar - la via dell'acqua;31;65;1;97
04/01/2023;20:30;Le otto montagne;199;73;0;272
05/01/2023;20:30;The Fablemans;10;15;1;26
06/01/2023;17:00;Il Gatto con gli Stivali;34;63;1;98
06/01/2023;20:30;Avatar - la via dell'acqua;37;48;1;86
07/01/2023;20:30;Tre di troppo;43;33;2;78
08/01/2023;17:00;Ernest & Celestine 2;18;23;3;44
14/01/2023;20:30;The Fablemans;22;30;0;52
15/01/2023;17:00;Il Gatto con gli Stivali;44;82;3;129
21/01/2023;20:30;Le Otto Montagne;128;82;3;213
28/01/2023;20:30;Grazie Ragazzi;19;13;0;32
29/01/2023;17:00;Anna Frank - Giornata Memoria;31;78;1;110
29/01/2023;20:30;Grazie Ragazzi;9;13;2;24
01/02/2023;20:30;Hometown  - Giornata Memoria;14;20;;34
04/02/2023;20:30;Le Otto Montagne;78;36;0;114
08/02/2023;20:30;L'ultima Vetta ;64;32;0;96
11/02/2023;17:00;Me contro Te, Missione Giungla;33;50;2;85
11/02/2023;20:30;Il Primo Giorno della Mia Vita;18;10;0;28
12/02/2023;17:00;Me contro Te, Missione Giungla;17;24;0;41
12/02/2023;20:30;Il Primo Giorno della Mia Vita;16;6;0;22
15/02/2023;20:30;Living ;18;14;0;32
18/02/2023;20:30;Ant-Man 3;10;50;0;60
19/02/2023;17:00;Asterix & Obelix - Il regno di mezzo;33;105;6;144
19/02/2023;20:30;Ant-Man 3;7;22;3;32
20/02/2023;17:00;Asterix & Obelix - Il regno di mezzo;20;43;5;68
20/02/2023;20:30;Ant-Man 3;5;23;0;28
21/02/2023;17:00;Asterix & Obelix - Il regno di mezzo;11;18;1;30
22/02/2023;20:30;Babylon ;9;17;2;28
25/02/2023;20:30;Non così Vicino;20;9;1;30
26/02/2023;17:00;Non così Vicino;7;10;0;17
26/02/2023;20:30;Non così Vicino;17;16;0;33
01/03/2023;20:30;Gli spiriti dell'isola ;39;35;1;75
04/03/2023;17:00;Mummie a spasso nel tempo;16;32;3;51
04/03/2023;20:30;Everything Everywhere all at Once;7;15;2;24
05/03/2023;17:00;Mummie a spasso nel tempo;50;65;6;121
05/03/2023;20:30;Gli spiriti dell'isola ;26;8;1;35
08/03/2023;20:30;Tar ;4;28;;32
12/03/2023;17:00;Mummie a spasso nel tempo;24;37;1;62
12/03/2023;20:30;Tar ;14;3;;17
15/03/2023;20:30;Trieste è bella di notte ;29;26;0;55
18/03/2023;20:30;Creed III;8;40;0;48
19/03/2023;17:00;Argonuts;22;37;3;62
19/03/2023;20:30;Creed III;1;6;;7
22/03/2023;20:30;The Whale ;31;45;3;79
25/03/2023;20:30;Shazam! 2;5;20;0;25
26/03/2023;17:00;Shazam! 2;8;23;0;31
26/03/2023;20:30;The Whale ;42;32;0;74
29/03/2023;20:30;The Quiet Girl ;22;13;;35
02/04/2023;17:00;What's Love?;2;2;0;4
02/04/2023;20:30;What's Love?;7;2;;9
08/04/2023;17:00;Super Mario Bros. - Il film;64;148;2;214
08/04/2023;20:30;John Wick 4;16;27;1;44
09/04/2023;17:00;Super Mario Bros. - Il film;50;69;6;125
09/04/2023;20:30;John Wick 4;18;10;2;30
10/04/2023;17:00;Super Mario Bros.;79;153;8;240
10/04/2023;20:30;L'ultima notte d'amore;10;22;0;32
12/04/2023;20:30;Decision to Leave ;4;21;0;25
15/04/2023;20:30;Dungeons & Dragons 2;15;19;2;36
16/04/2023;17:00;Dungeons & Dragons 2;16;30;1;47
16/04/2023;20:30;L'ultima notte d'amore;11;4;0;15
22/04/2023;20:30;Air;11;11;;22
23/04/2023;17:00;Super Mario Bros.;23;41;3;67
23/04/2023;20:30;Air;4;15;1;20
24/04/2023;17:00;Super Mario Bros.;19;65;6;90
24/04/2023;20:30;Armageddon Time;6;12;;18
25/04/2023;17:00;Air;16;25;;41
25/04/2023;20:30;Armageddon Time;;10;;10
29/04/2023;20:30;Esorcista del Papa - VM-14;17;20;1;38
30/04/2023;17:00;Mavka;44;61;3;108
30/04/2023;20:30;Ligabue;10;7;;17
01/05/2023;17:00;Super Mario Bros.;26;44;0;70
01/05/2023;20:30;Esorcista del Papa - VM-14;17;9;0;26
06/05/2023;20:30;Guardiani della Galassia vol.3;20;44;2;66
07/05/2023;17:00;Mavka;23;61;2;86
07/05/2023;20:30;Guardiani della Galassia vol.3;27;45;0;72
14/05/2023;17:00;Guardiani della Galassia vol.3;21;48;1;70
14/05/2023;20:30;Il Sol dell'Avvenire;15;12;;27
21/05/2023;17:00;Maurice, Topolino Museo;17;29;1;47
21/05/2023;20:30;Il Sol dell'Avvenire;18;16;0;34
26/05/2023;20:30;Rispet;44;28;0;72
31/05/2023;20:30;La Seconda Via (ingresso 5+gratis A.N.A.);;38;54;92
02/06/2023;20:30;Fast X;10;47;;
03/06/2023;17:00;La Sirenetta;36;82;5;
03/06/2023;20:30;Fast X;26;35;0;
04/06/2023;17:00;La Sirenetta;51;85;4;
04/06/2023;20:30;Fast X;25;43;0;
09/06/2023;20:30;Daliland;6;7;1;14
10/06/2023;17:00;La Sirenetta;18;68;1;
10/06/2023;20:30;Daliland;9;7;0;
11/06/2023;20:30;Across the Spider-Verse;55;0;2;
12/06/2023;20:30;Book Club 2;11;0;0;
13/06/2023;20:30;Guardiani della Galassia vol.3;41;0;1;
14/06/2023;20:30;Across the Spider-Verse;65;0;2;
15/06/2023;20:30;Book Club 2;10;0;0;
23/09/2023;17:00;Barbie;12;129;1;142
23/09/2023;20:30;Oppenheimer;39;111;1;151
24/09/2023;17:00;Barbie;19;61;0;80
24/09/2023;20:30;Oppenheimer;41;34;0;75
01/10/2023;17:00;La casa dei fantasmi;12;44;1;57
04/10/2023;20:30;Il più bel secolo della mia vita ;16;11;0;27
07/10/2023;17:00;Il mio amico tempesta;5;15;0;20
07/10/2023;20:30;Assassinio a Venezia;46;47;1;94
08/10/2023;17:00;Il mio amico tempesta;15;21;1;37
08/10/2023;20:30;Assassinio a Venezia ;28;26;1;55
11/10/2023;20:30;Houria ;11;9;0;20
28/10/2023;17:00;Paw Patrol;36;46;5;87
28/10/2023;20:30;Il mio grosso grasso matrimonio greco 3;9;1;0;10
29/10/2023;17:00;Paw Patrol;44;55;6;105
29/10/2023;20:30;Il mio grosso grasso matrimonio greco 3;2;5;;7
31/10/2023;17:00;Me contro Te: Il film - Vacanze in Transilvania;11;18;0;29
31/10/2023;22:00;L'esorcista - il credente;8;13;0;21
01/11/2023;17:00;Me contro Te: Il film - Vacanze in Transilvania;31;44;2;77
01/11/2023;20:30;Io, capitano ;34;29;0;63
04/11/2023;20:30;L'ultima volta che siamo stati bambini;15;8;0;23
05/11/2023;17:00;L'ultima volta che siamo stati bambini;27;27;2;56
05/11/2023;20:30;Io, capitano ;36;31;1;68
08/11/2023;20:30;Asteroid City ;11;6;0;17
11/11/2023;20:30;Killers of the Flowers Moon;26;12;;38
12/11/2023;17:00;Killers of the Flowers Moon;18;19;;37
18/11/2023;17:00;Trolls III;21;51;0;72
18/11/2023;20:30;Comandante;40;27;1;68
19/11/2023;17:00;Trolls III;40;68;0;108
19/11/2023;20:30;Comandante;30;39;0;69
22/11/2023;20:30;C'è Ancora Domani;202;82;1;285
25/11/2023;17:00;The Marvels;8;5;;13
25/11/2023;20:30;C'è Ancora Domani;116;86;2;204
29/11/2023;20:30;Nata per Te ;43;38;2;83
03/12/2023;17:00;The Marvels;8;15;;23
03/12/2023;20:30;C'è Ancora Domani;188;100;;288
07/12/2023;20:30;Hunger Games - La ballata dell'usignolo e del serpente;9;16;1;26
08/12/2023;17:00;Hunger Games - La ballata dell'usignolo e del serpente;5;3;;8
08/12/2023;20:30;Napoleon;48;32;;80
09/12/2023;17:00;Mary e lo Spirito di Mezzanotte;5;11;1;17
09/12/2023;20:30;Napoleon;35;34;0;69
10/12/2023;17:00;Hunger Games - Usignolo & Serpente;12;8;0;20
10/12/2023;20:30;C'è Ancora Domani;140;86;2;228
13/12/2023;20:30;A Passo d'Uomo ;48;47;;95
17/12/2023;17:00;Mary e lo Spirito di Mezzanotte;9;13;;22
17/12/2023;20:30;Napoleon;12;9;;21
20/12/2023;20:30;The Old Oak ;31;35;0;66
21/12/2023;20:30;C'è Ancora Domani;52;39;1;92
25/12/2023;20:30;SantoCielo;21;7;;28
26/12/2023;17:00;Prendi il Volo;29;41;4;74
26/12/2023;20:30;Wonka;48;106;1;155
